time_ms,sample_idx,ecg_v,ecg_ac_v,ppg,lead_off
833869,208416,1.8341,0.0547,83254,0
833873,208417,1.8486,0.0688,84286,0
833877,208418,1.8478,0.0675,83188,0
833881,208419,1.8414,0.0606,83188,0
833885,208420,1.8414,0.0601,84245,0
833889,208421,1.8656,0.0836,83318,0
833893,208422,1.8857,0.103,84329,0
833897,208423,1.876,0.0925,83334,0
833901,208424,1.8825,0.0982,83334,0
833905,208425,1.9018,0.1166,84347,0
833909,208426,1.9252,0.139,83407,0
833913,208427,1.9316,0.1445,84349,0
833917,208428,1.9341,0.1459,83433,0
833921,208429,1.9486,0.1594,83433,0
833925,208430,1.9663,0.176,83433,0
833929,208431,1.9744,0.1829,83438,0
833933,208432,1.9792,0.1865,84341,0
833937,208433,1.9993,0.2054,83535,0
833941,208434,2.0219,0.2267,83535,0
833945,208435,2.0388,0.2422,83586,0
833949,208436,2.0332,0.2352,83586,0
833953,208437,2.0356,0.2362,84112,0
833957,208438,2.0517,0.2509,83652,0
833961,208439,2.063,0.2609,83882,0
833965,208440,2.059,0.2556,82850,0
833969,208441,2.059,0.2545,82850,0
833973,208442,2.0735,0.268,83586,0
833977,208443,2.0791,0.2726,83771,0
833981,208444,2.0541,0.2471,83395,0
833985,208445,2.0187,0.2124,83793,0
833989,208446,1.9937,0.1896,83793,0
833993,208447,1.9687,0.1673,83118,0
833997,208448,1.9308,0.1316,83844,0
834001,208449,1.8889,0.0905,82870,0
834005,208450,1.8615,0.0623,83855,0
834009,208451,1.839,0.038,83855,0
834013,208452,1.8067,0.0039,82669,0
834017,208453,1.7673,-0.0369,83881,0
834021,208454,1.7415,-0.0635,82572,0
834025,208455,1.7286,-0.0769,83936,0
834029,208456,1.7181,-0.0878,83936,0
834033,208457,1.6899,-0.1161,83983,0
834037,208458,1.6762,-0.1297,83983,0
834041,208459,1.6794,-0.1262,82439,0
834045,208460,1.677,-0.1282,84012,0
834049,208461,1.6633,-0.1416,82415,0
834053,208462,1.656,-0.1485,83477,0
834057,208463,1.6633,-0.1408,83477,0
834061,208464,1.6722,-0.1316,82382,0
834065,208465,1.6697,-0.1337,84080,0
834069,208466,1.6617,-0.1414,82500,0
834073,208467,1.6665,-0.1361,84085,0
834077,208468,1.6826,-0.1196,84085,0
834081,208469,1.681,-0.1208,82557,0
834085,208470,1.6722,-0.1293,84109,0
834089,208471,1.6746,-0.1264,82634,0
834093,208472,1.6891,-0.1115,84108,0
834097,208473,1.6963,-0.1039,84108,0
834101,208474,1.6859,-0.1139,84108,0
834105,208475,1.6834,-0.1158,84078,0
834109,208476,1.6996,-0.0993,82791,0
834113,208477,1.7092,-0.0892,84152,0
834117,208478,1.6923,-0.1056,84152,0
834121,208479,1.6842,-0.1131,84160,0
834125,208480,1.6947,-0.1021,84160,0
834129,208481,1.7036,-0.0927,82906,0
834133,208482,1.6988,-0.0969,84189,0
834137,208483,1.6859,-0.1092,82935,0
834141,208484,1.6907,-0.1037,83294,0
834145,208485,1.7028,-0.091,83294,0
834149,208486,1.702,-0.0911,82964,0
834153,208487,1.6931,-0.0993,84234,0
834157,208488,1.6955,-0.0961,83061,0
834161,208489,1.7044,-0.0865,84248,0
834165,208490,1.7116,-0.0785,84248,0
834169,208491,1.6955,-0.0937,83123,0
834173,208492,1.6931,-0.0952,84273,0
834177,208493,1.706,-0.0813,83177,0
834181,208494,1.7165,-0.0698,84286,0
834185,208495,1.7052,-0.08,84286,0
834189,208496,1.6988,-0.0854,84286,0
834193,208497,1.7044,-0.0785,84245,0
834197,208498,1.7108,-0.0708,83242,0
834201,208499,1.706,-0.0744,84329,0
834205,208500,1.7052,-0.0739,84329,0
834209,208501,1.7052,-0.0725,84347,0
834213,208502,1.7108,-0.0655,84347,0
834217,208503,1.7036,-0.0714,83206,0
834221,208504,1.6867,-0.0869,84349,0
834225,208505,1.6931,-0.079,83178,0
834229,208506,1.71,-0.0607,83433,0
834233,208507,1.7125,-0.057,83433,0
834237,208508,1.6971,-0.0711,83087,0
834241,208509,1.6931,-0.0739,84341,0
834245,208510,1.706,-0.06,83089,0
834249,208511,1.7084,-0.0567,84246,0
834253,208512,1.6979,-0.0664,84246,0
834257,208513,1.6979,-0.0657,83049,0
834261,208514,1.7116,-0.0515,84112,0
834265,208515,1.7237,-0.0391,83021,0
834269,208516,1.7149,-0.0477,83882,0
834273,208517,1.7028,-0.0597,83882,0
834277,208518,1.7125,-0.05,83586,0
834281,208519,1.7229,-0.0395,83586,0
